0.05[um],0.1[um],0.15[um],
2.91503831351097,2.91504814859604,2.91506659114646,
2.88456031055468,2.88457290369735,2.88459773824557,
2.86212714518751,2.86214563271277,2.86217388425107,
2.84486461936724,2.84488857863029,2.84492616775659,
2.83109296086625,2.83112176618804,2.83116852283240,
2.81976604095496,2.81980241970676,2.81985864217087,
2.81020205473315,2.81024640755930,2.81031396910602,
2.80193800522918,2.80199106435997,2.80207092031560,
2.79464951753775,2.79471315404644,2.79480742580150,
2.78810564240347,2.78818116320419,2.78829070596667,
2.78213609738255,2.78222501815528,2.78235198270400,
2.77661434028195,2.77671773351233,2.77686345842306,
2.77144421422803,2.77156345383518,2.77172936697967,
2.76655205069728,2.76668948001886,2.76687602569085,
2.76188016419881,2.76203599821257,2.76224835517637,
2.75738420473241,2.75756085007407,2.75779819366502,
2.75302775896050,2.75322657204580,2.75349135293694,
2.74878271232870,2.74900538759347,2.74929948531659,
2.74462625205634,2.74487452878415,2.74519986016657,
2.74053998176601,2.74081564122780,2.74117415721042,
2.73650900959547,2.73681387212624,2.73720755453333,
2.73252124800537,2.73285717002427,2.73328802829095,
2.72856687072534,2.72893574170514,2.72940580956789,
2.72463788765978,2.72504162705061,2.72555295920570,
2.72072780926568,2.72116836337798,2.72172303211244,
2.71683137944962,2.71731071830049,2.71791081009991,
2.71294436140799,2.71346447553508,2.71411208767250,
2.70906336471619,2.70962626196292,2.71032349907313,
2.70518570480588,2.70579340708181,2.70654237772502,
2.70130928805772,2.70196382807775,2.70276664129700,
2.69743251729172,2.69813593529778,2.69899469717428,
2.69355421360407,2.69430855407309,2.69522536428379,
2.68967355138311,2.69048085972507,2.69145780810687,
2.68579000401116,2.68665232326131,2.68769148638630,
2.68190329827731,2.68282266578687,2.68392610355287,
2.67801337592731,2.67899182005776,2.68016157229806,
2.67412036108931,2.67515989791703,2.67639798103177,
2.67022453255941,2.67132716260267,2.67263556620926,
2.66632630012413,2.66749400512544,2.66887468870487,
2.66242618425046,2.66366092416011,2.66511581356322,
2.65852479859612,2.65982850959743,2.66135949258104,
2.65462283489122,2.65599741120368,2.65760634927076,
2.65072104982089,2.65216837477417,2.65385706583591,
2.64682025360280,2.64834216520246,2.65011237185224,
2.64292130000524,2.64451959888380,2.64637303440048,
2.63902507759382,2.64070152352912,2.64263984943893,
2.63513250202976,2.63688881086522,2.63891363423874,
2.63124450927115,2.63308234996526,2.63519522073355,
2.62736204955225,2.62928304131317,2.63148544965823,
2.62348608203547,2.62549179153431,2.62778516537153,
2.61961757004681,2.62170950871134,2.62409521127292,
2.61575747681909,2.61793709821206,2.62041642573806,
2.61190676167858,2.61417545896529,2.61674963850786,
2.60806637661986,2.61042548013017,2.61309566747592,
2.60423726322191,2.60668803811139,2.60945531582647,
2.60042034986445,2.60296399387972,2.60582936948175,
2.59661654920948,2.59925419056210,2.60221859482289,
2.59282675591705,2.59555945127050,2.59862373665293,
2.58905184456827,2.59188057714208,2.59504551637419,
2.58529266777145,2.58821834556626,2.59148463035549,
2.58155005442971,2.58457350857703,2.58794174846687,
2.57782480815057,2.58094679139051,2.58441751276185,
2.57411770577944,2.57733889106972,2.58091253628887,
2.57042949604029,2.57375047529977,2.57742740201497,
2.56676089826807,2.57018218125773,2.57396266184613,
2.56311260121789,2.56663461456284,2.57051883572979,
2.55948526193736,2.56310834829307,2.56709641082606,
2.55587950468876,2.55960392205566,2.56369584073532,
2.55229591990893,2.55612184109959,2.56031754477093,
2.54873506319550,2.55266257545948,2.55696190726696,
2.54519745430922,2.54922655912133,2.55362927691222,
2.54168357618333,2.54581418920211,2.55031996610312,
2.53819387393267,2.54242582513652,2.54703425030979,
2.53472875385666,2.53906178786631,2.54377236745133,
2.53128858243259,2.53572235902927,2.54053451727823,
2.52787368529771,2.53240778014743,2.53732086076166,
2.52448434622134,2.52911825181602,2.53413151949196,
2.52112080607067,2.52585393289742,2.53096657509009,
2.51778326177693,2.52261493972676,2.52782606863856,
2.51447186531130,2.51940134533797,2.52471000013988,
2.51118672268282,2.51621317872173,2.52161832801249,
2.50792789297301,2.51305042412857,2.51855096863589,
2.50469538742445,2.50991302043219,2.51550779595762,
2.50148916860220,2.50680086056930,2.51248864117560,
2.49830914964858,2.50371379107332,2.50949329251003,
2.49515519365238,2.50065161171912,2.50652149507834,
2.49202711315382,2.49761407529603,2.50357295088662,
2.48892466980575,2.49460088752504,2.50064731894928,
2.48584757421006,2.49161170713458,2.49774421554727,
2.48279548594634,2.48864614610688,2.49486321463290,
2.47976801380638,2.48570377010423,2.49200384838687,
2.47676471624499,2.48278409908113,2.48916560792998,
2.47378510205306,2.47988660808443,2.48634794418917,
2.47082863125472,2.47701072824027,2.48355026891411,
2.46789471622539,2.47415584792198,2.48077195583758,
2.46498272302298,2.47132131408984,2.47801234196936,
2.46209197291981,2.46850643378942,2.47527072901109,
2.45922174411866,2.46571047579222,2.47254638487636,
2.45637127363225,2.46293267235909,2.46983854529853,
2.45353975930238,2.46017222110481,2.46714641550689,
2.45072636193243,2.45742828693994,2.46446917195047,
2.44793020750469,2.45470000406524,2.46180596404814,
2.44515038945326,2.45198647799303,2.45915591594318,
2.44238597096248,2.44928678756985,2.45651812824089,
2.43963598726147,2.44659998697544,2.45389167970812,
2.43689944788601,2.44392510767378,2.45127562891474,
2.43417533888051,2.44126116029347,2.44866901579814,
2.43146262491491,2.43860713641636,2.44607086313338,
2.42876025129313,2.43596201025528,2.44348017789312,
2.42606714583273,2.43332474020370,2.44089595248322,
2.42338222059727,2.43069427024244,2.43831716584142,
